 point             x              y              z          zone  nugget  sill            a_hmax         a_hmin         a_vert        ang1      ang2      ang3
 PPC0201        427275.000    6655150.000        141.807       1   0.0    1.0                  26.485         26.485          7.219   0.0       0.0       0.0
 PPC0202        427300.000    6654725.000        138.199       1   0.0    1.0                  24.000         24.000          9.735   0.0       0.0       0.0
 PPC0203        427300.000    6654750.000        138.441       1   0.0    1.0                  24.000         24.000          7.211   0.0       0.0       0.0
 PPC0204        427300.000    6654775.000        138.944       1   0.0    1.0                  24.000         24.000          7.430   0.0       0.0       0.0
 PPC0205        427300.000    6654800.000        138.170       1   0.0    1.0                  24.000         24.000          6.684   0.0       0.0       0.0
 PPC0206        427300.000    6654825.000        139.012       1   0.0    1.0                  24.000         24.000          6.964   0.0       0.0       0.0
 PPC0207        427300.000    6654850.000        139.821       1   0.0    1.0                  24.000         24.000          6.748   0.0       0.0       0.0
 PPC0208        427300.000    6654875.000        139.471       1   0.0    1.0                  24.000         24.000          6.447   0.0       0.0       0.0
 PPC0209        427300.000    6654900.000        138.171       1   0.0    1.0                  24.000         24.000          6.466   0.0       0.0       0.0
 PPC0210        427300.000    6654925.000        136.204       1   0.0    1.0                  24.000         24.000          7.054   0.0       0.0       0.0
 PPC0211        427300.000    6654950.000        133.162       1   0.0    1.0                  24.000         24.000          5.828   0.0       0.0       0.0
 PPC0212        427300.000    6654975.000        131.525       1   0.0    1.0                  24.000         24.000          4.761   0.0       0.0       0.0
 PPC0213        427300.000    6655000.000        131.969       1   0.0    1.0                  24.000         24.000          5.521   0.0       0.0       0.0
 PPC0214        427300.000    6655025.000        136.181       1   0.0    1.0                  24.000         24.000          7.700   0.0       0.0       0.0
 PPC0215        427300.000    6655050.000        139.037       1   0.0    1.0                  24.000         24.000          8.099   0.0       0.0       0.0
 PPC0216        427300.000    6655075.000        140.354       1   0.0    1.0                  24.000         24.000          7.600   0.0       0.0       0.0
 PPC0217        427300.000    6655100.000        141.391       1   0.0    1.0                  24.000         24.000          7.171   0.0       0.0       0.0
 PPC0218        427300.000    6655125.000        142.115       1   0.0    1.0                  24.000         24.000          6.749   0.0       0.0       0.0
 PPC0219        427300.000    6655150.000        142.746       1   0.0    1.0                  24.000         24.000          6.687   0.0       0.0       0.0
 PPC0220        427300.000    6655175.000        143.178       1   0.0    1.0                  26.485         26.485          7.344   0.0       0.0       0.0
 PPC0221        427325.000    6654725.000        140.904       1   0.0    1.0                  24.000         24.000          8.975   0.0       0.0       0.0
 PPC0222        427325.000    6654750.000        141.084       1   0.0    1.0                  24.000         24.000          6.966   0.0       0.0       0.0
 PPC0223        427325.000    6654775.000        140.557       1   0.0    1.0                  24.000         24.000          6.381   0.0       0.0       0.0
 PPC0224        427325.000    6654800.000        141.088       1   0.0    1.0                  24.000         24.000          6.741   0.0       0.0       0.0
 PPC0225        427325.000    6654825.000        140.845       1   0.0    1.0                  24.000         24.000          6.127   0.0       0.0       0.0
 PPC0226        427325.000    6654850.000        140.617       1   0.0    1.0                  24.000         24.000          5.916   0.0       0.0       0.0
 PPC0227        427325.000    6654875.000        139.257       1   0.0    1.0                  24.000         24.000          5.355   0.0       0.0       0.0
 PPC0228        427325.000    6654900.000        138.180       1   0.0    1.0                  24.000         24.000          5.446   0.0       0.0       0.0
