 point             x              y          zone  nugget  sill           a         hanis     bearing
 PP0290         427306.066    6655005.080       1  0.0     1.0             24.621   1.0       0.0
 PP0291         427327.279    6655022.760       1  0.0     1.0             32.067   1.0       0.0
 PP0292         427362.635    6655058.110       1  0.0     1.0             35.987   1.0       0.0
 PP0293         427397.990    6655093.470       1  0.0     1.0             35.985   1.0       0.0
 PP0294         427433.345    6655128.820       1  0.0     1.0             35.987   1.0       0.0
 PP0295         427468.701    6655164.180       1  0.0     1.0             35.986   1.0       0.0
 PP0296         427504.056    6655199.530       1  0.0     1.0             35.987   1.0       0.0
 PP0297         427023.223    6654704.560       1  0.0     1.0             44.387   1.0       0.0
 PP0298         427058.579    6654739.910       1  0.0     1.0             36.922   1.0       0.0
 PP0299         427093.934    6654775.270       1  0.0     1.0             36.920   1.0       0.0
 PP0300         427129.289    6654810.620       1  0.0     1.0             36.922   1.0       0.0
 PP0301         427164.645    6654845.980       1  0.0     1.0             36.922   1.0       0.0
 PP0302         427200.000    6654881.340       1  0.0     1.0             34.342   1.0       0.0
 PP0303         427221.213    6654899.010       1  0.0     1.0             27.540   1.0       0.0
 PP0304         427231.820    6654909.620       1  0.0     1.0             23.430   1.0       0.0
 PP0305         427242.426    6654923.760       1  0.0     1.0             24.461   1.0       0.0
 PP0306         427277.782    6654959.120       1  0.0     1.0             25.080   1.0       0.0
 PP0307         427298.995    6654976.790       1  0.0     1.0             23.782   1.0       0.0
 PP0308         427309.602    6654987.400       1  0.0     1.0             18.340   1.0       0.0
 PP0309         427316.673    6655001.540       1  0.0     1.0             22.466   1.0       0.0
 PP0310         427334.350    6655015.690       1  0.0     1.0             31.192   1.0       0.0
 PP0311         427369.706    6655051.040       1  0.0     1.0             36.100   1.0       0.0
 PP0312         427405.061    6655086.400       1  0.0     1.0             36.099   1.0       0.0
 PP0313         427440.416    6655121.750       1  0.0     1.0             36.100   1.0       0.0
 PP0314         427475.772    6655157.110       1  0.0     1.0             36.099   1.0       0.0
 PP0315         427511.127    6655192.460       1  0.0     1.0             36.099   1.0       0.0
 PP0316         427037.365    6654704.560       1  0.0     1.0             46.774   1.0       0.0
 PP0317         427072.721    6654739.910       1  0.0     1.0             36.192   1.0       0.0
 PP0318         427108.076    6654775.270       1  0.0     1.0             36.190   1.0       0.0
 PP0319         427143.431    6654810.620       1  0.0     1.0             36.192   1.0       0.0
 PP0320         427178.787    6654845.980       1  0.0     1.0             36.190   1.0       0.0
 PP0321         427214.142    6654881.340       1  0.0     1.0             30.912   1.0       0.0
 PP0322         427242.426    6654913.150       1  0.0     1.0             22.488   1.0       0.0
 PP0323         427249.497    6654913.150       1  0.0     1.0             23.798   1.0       0.0
 PP0324         427260.104    6654923.760       1  0.0     1.0             27.749   1.0       0.0
 PP0325         427267.175    6654937.900       1  0.0     1.0             28.412   1.0       0.0
 PP0326         427277.782    6654948.510       1  0.0     1.0             24.541   1.0       0.0
 PP0327         427284.853    6654948.510       1  0.0     1.0             24.111   1.0       0.0
 PP0328         427295.459    6654959.120       1  0.0     1.0             25.759   1.0       0.0
 PP0329         427302.530    6654973.260       1  0.0     1.0             23.121   1.0       0.0
 PP0330         427313.137    6654983.870       1  0.0     1.0             17.840   1.0       0.0
 PP0331         427320.208    6654983.870       1  0.0     1.0             17.361   1.0       0.0
 PP0332         427330.815    6654994.470       1  0.0     1.0             19.874   1.0       0.0
 PP0333         427362.635    6655029.830       1  0.0     1.0             36.411   1.0       0.0
 PP0334         427397.990    6655065.180       1  0.0     1.0             36.739   1.0       0.0
 PP0335         427433.345    6655100.540       1  0.0     1.0             36.739   1.0       0.0
 PP0336         427468.701    6655135.890       1  0.0     1.0             36.740   1.0       0.0
 PP0337         427504.056    6655171.250       1  0.0     1.0             36.739   1.0       0.0
 PP0338         427539.411    6655206.600       1  0.0     1.0             42.302   1.0       0.0
 PP0339         427072.721    6654725.770       1  0.0     1.0             38.315   1.0       0.0
 PP0340         427108.076    6654761.130       1  0.0     1.0             36.110   1.0       0.0
 PP0341         427143.431    6654796.480       1  0.0     1.0             36.109   1.0       0.0
 PP0342         427178.787    6654831.840       1  0.0     1.0             36.109   1.0       0.0
 PP0343         427214.142    6654867.190       1  0.0     1.0             34.656   1.0       0.0
 PP0344         427249.497    6654902.550       1  0.0     1.0             26.796   1.0       0.0
 PP0345         427284.853    6654937.900       1  0.0     1.0             26.637   1.0       0.0
 PP0346         427316.673    6654973.260       1  0.0     1.0             21.141   1.0       0.0
 PP0347         427327.279    6654983.870       1  0.0     1.0             17.461   1.0       0.0
 PP0348         427334.350    6654983.870       1  0.0     1.0             17.265   1.0       0.0
 PP0349         427344.957    6654994.470       1  0.0     1.0             22.909   1.0       0.0
 PP0350         427376.777    6655029.830       1  0.0     1.0             36.596   1.0       0.0
 PP0351         427412.132    6655065.180       1  0.0     1.0             36.597   1.0       0.0
 PP0352         427447.487    6655100.540       1  0.0     1.0             36.595   1.0       0.0
 PP0353         427482.843    6655135.890       1  0.0     1.0             36.597   1.0       0.0
